rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.2,3,180,42.42640687119285,died,3500,34,0.009103641456582632,0.011137470758208189,0.047712418300653585,0.027777777777777776,104.8529411764706,1.7258807274879557,0.23727560594599512,0.943556345399953,59.085471148742805,0.016886099280108185
0.1,0.2,2,180,42.42640687119285,died,4000,39,0.011843711843711843,0.012654036970324425,0.05026455026455025,0.02834757834757834,101.8974358974359,1.775868663291409,0.24350559681525352,0.8717610798174434,67.1064181729596,0.020157952900172995
0.1,0.2,7,180,42.42640687119285,died,3000,29,0.007608100711548985,0.01173722349970355,0.043240284619594956,0.027394636015325668,106.27586206896552,1.7040460835451077,0.2283285761277548,0.9597408337246227,51.417418268525125,0.018632872143127845
0.1,0.2,5,180,42.42640687119285,died,4500,44,0.014033189033189031,0.015036985844974558,0.06764069264069263,0.0316919191919192,100.68181818181819,1.7975145549877174,0.24835383064132407,0.932782366949504,73.10468159395224,0.022809337221340483
0.1,0.2,6,180,42.42640687119285,died,4000,39,0.009727309727309726,0.011383532158099674,0.0496133496133496,0.035897435897435916,93.0,1.9522295252303257,0.24540810686568962,0.9428047118960924,67.50124065465432,0.013900221106390886
0.1,0.2,4,180,42.42640687119285,died,6000,59,0.012886736615550174,0.011328826875541558,0.05205811138014527,0.03361581920903955,97.84745762711864,1.847362755027152,0.24688728937670854,0.9439766490091825,99.66421618006387,0.016660368626250165
0.1,0.2,8,180,42.42640687119285,died,4000,39,0.008506308506308506,0.0124787074221228,0.054293854293854284,0.028062678062678054,98.23076923076923,1.8483420052345634,0.2503887801215013,0.9091787622590234,67.99731060161182,0.01773020415263566
0.1,0.2,9,180,42.42640687119285,died,3500,34,0.011437908496732025,0.01602306132486686,0.0676937441643324,0.03235294117647059,101.08823529411765,1.7932901382776865,0.24149667162446994,0.9243274322144197,57.700689447557444,0.027549408574458117
0.1,0.2,10,180,42.42640687119285,died,4000,39,0.008302808302808301,0.011376062289645297,0.04403744403744403,0.028205128205128195,106.84615384615384,1.6902003117250335,0.23950587289220193,0.958956718866236,66.85082547094254,0.01815040992229734
0.1,0.2,12,180,42.42640687119285,died,3000,29,0.009523809523809523,0.013953214409578567,0.0562671045429666,0.03295019157088123,110.20689655172414,1.6419310614540783,0.24713189823589607,0.9171913890496264,50.635038008132376,0.02581126136658717
0.1,0.2,13,180,42.42640687119285,died,3000,29,0.008319649698960043,0.011029013089482557,0.04411603721948548,0.03697318007662835,105.13793103448276,1.7264428521994815,0.23675192617739266,0.9295480302129779,51.1313565435834,0.01662754702568857
0.1,0.2,11,180,42.42640687119285,died,4500,44,0.011652236652236652,0.012457619744437258,0.061760461760461745,0.035101010101010105,97.13636363636364,1.864524783705942,0.24345437937465195,0.9325894243090815,74.13058955944739,0.017403390848048237
0.1,0.2,14,180,42.42640687119285,died,3500,34,0.010784313725490194,0.013208059450244003,0.05662931839402426,0.020915032679738564,104.0,1.7411617808768247,0.244969735203787,0.9772599883866729,57.04876960401313,0.02243523108877177
